Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20226006,Tas,6,2022,Tuesday,18:15:00,Multiple,No,Yes,No,80,Passenger,Male,15,Outer Regional Australia,West and North West,Latrobe (Tas.),National or State Highway,No,No,0_to_16,Weekday,Night,2,No,Night
20223192,Qld,5,2022,Sunday,18:00:00,Multiple,No,No,No,100,Passenger,Male,12,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,National or State Highway,No,No,0_to_16,Weekend,Night,1,No,Night
20223006,Qld,5,2022,Saturday,18:00:00,Multiple,Yes,No,No,60,Motorcycle rider,Male,17,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Local Road,No,No,17_to_25,Weekend,Night,1,Yes,Night
20222235,Vic,5,2022,Saturday,21:00:00,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20225084,WA,5,2022,Saturday,12:42:00,Single,No,No,No,110,Passenger,Female,15,-9,-9,-9,-9,No,No,0_to_16,Weekend,Day,1,No,Day
20224013,SA,5,2022,Sunday,13:53:00,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Sub-arterial Road,No,No,17_to_25,Weekend,Day,2,No,Day
20224013,SA,5,2022,Sunday,13:53:00,Single,No,No,No,60,Passenger,Male,17,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Sub-arterial Road,No,No,17_to_25,Weekend,Day,2,No,Day
20226042,Tas,5,2022,Monday,12:55:00,Single,No,No,No,100,Passenger,Male,16,Outer Regional Australia,West and North West,Latrobe (Tas.),Sub-arterial Road,No,No,0_to_16,Weekday,Day,1,No,Day
20226045,Tas,5,2022,Tuesday,16:45:00,Multiple,No,No,No,100,Passenger,Male,16,Inner Regional Australia,Hobart,Sorell,Collector Road,No,No,0_to_16,Weekday,Day,2,No,Day
20224005,SA,5,2022,Tuesday,17:36:00,Multiple,No,No,No,80,Motorcycle rider,Male,18,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20221139,NSW,4,2022,Sunday,04:48:00,Single,No,No,No,80,Passenger,Male,16,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20221233,NSW,4,2022,Monday,04:10:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Sydney - Sutherland,Sutherland,Collector Road,No,Yes,17_to_25,Weekend,Night,1,No,Night
20225110,WA,4,2022,Saturday,09:54:00,Single,No,No,No,110,Driver,Male,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,1,No,Day
20221118,NSW,4,2022,Tuesday,20:40:00,Multiple,No,No,No,70,Passenger,Female,16,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,0_to_16,Weekday,Night,1,No,Night
20221110,NSW,4,2022,Thursday,03:00:00,Single,No,No,No,100,Passenger,Male,15,Outer Regional Australia,Murray,Wentworth,National or State Highway,No,Yes,0_to_16,Weekday,Night,2,No,Night
20221110,NSW,4,2022,Thursday,03:00:00,Single,No,No,No,100,Passenger,Male,15,Outer Regional Australia,Murray,Wentworth,National or State Highway,No,Yes,0_to_16,Weekday,Night,2,No,Night
