Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20201188,NSW,2,2020,Tuesday,17:59:00,Multiple,No,No,No,60,Pedal cyclist,Male,16,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,No,No,0_to_16,Weekday,Day,1,No,Day
20201159,NSW,2,2020,Saturday,19:50:00,Multiple,No,No,No,50,Pedestrian,Male,13,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No,0_to_16,Weekend,Night,4,No,Night
20201159,NSW,2,2020,Saturday,19:50:00,Multiple,No,No,No,50,Pedestrian,Female,12,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No,0_to_16,Weekend,Night,4,No,Night
20201162,NSW,1,2020,Monday,21:10:00,Single,No,No,Yes,100,Pedestrian,Male,17,Outer Regional Australia,Riverina,Griffith,Arterial Road,No,No,17_to_25,Weekday,Night,1,No,Night
20191057,NSW,12,2019,Wednesday,07:10:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,Central West,Parkes,Arterial Road,Yes,No,17_to_25,Weekday,Day,1,No,Day
20191237,NSW,11,2019,Sunday,23:45:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,Central West,Cabonne,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20191106,NSW,9,2019,Sunday,15:00:00,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,Central West,Cowra,Arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20191029,NSW,9,2019,Thursday,17:05:00,Single,No,No,No,80,Driver,Male,17,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20191180,NSW,9,2019,Friday,08:35:00,Single,No,No,No,40,Pedestrian,Male,12,Major Cities of Australia,Sydney - Inner South West,Georges River,Collector Road,No,No,0_to_16,Weekday,Day,1,No,Day
20191084,NSW,8,2019,Tuesday,20:40:00,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No,17_to_25,Weekday,Night,1,No,Night
20191092,NSW,8,2019,Tuesday,17:50:00,Multiple,No,No,No,50,Motorcycle rider,Male,18,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20191036,NSW,8,2019,Tuesday,08:30:00,Multiple,Yes,No,No,50,Pedal cyclist,Male,17,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No,17_to_25,Weekday,Day,1,Yes,Day
20191318,NSW,6,2019,Saturday,08:27:00,Multiple,No,No,No,100,Driver,Female,17,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20191175,NSW,4,2019,Thursday,22:30:00,Single,No,No,No,100,Passenger,Male,18,Outer Regional Australia,New England and North West,Narrabri,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20191294,NSW,3,2019,Saturday,19:05:00,Multiple,No,No,No,60,Passenger,Male,12,Major Cities of Australia,Sydney - Parramatta,Parramatta,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20191007,NSW,3,2019,Thursday,07:30:00,Single,No,No,No,110,Passenger,Male,18,Inner Regional Australia,Murray,Greater Hume,National or State Highway,No,No,17_to_25,Weekday,Day,2,No,Day
20181049,NSW,12,2018,Sunday,06:30:00,Single,No,No,No,110,Driver,Male,16,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway,No,No,0_to_16,Weekend,Day,2,No,Day
20181049,NSW,12,2018,Sunday,06:30:00,Single,No,No,No,110,Passenger,Male,18,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway,No,No,17_to_25,Weekend,Day,2,No,Day
20181226,NSW,12,2018,Tuesday,17:30:00,Single,No,No,No,80,Driver,Male,17,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20181237,NSW,12,2018,Tuesday,19:00:00,Single,No,No,No,100,Pedestrian,Male,15,Outer Regional Australia,Riverina,Junee,Sub-arterial Road,No,No,0_to_16,Weekday,Night,1,No,Night
20181265,NSW,11,2018,Wednesday,09:10:00,Multiple,No,No,No,60,Passenger,Male,14,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Collector Road,No,No,0_to_16,Weekday,Day,1,No,Day
20181045,NSW,11,2018,Monday,17:15:00,Single,No,No,No,50,Motorcycle rider,Male,16,Outer Regional Australia,New England and North West,Inverell,Local Road,No,No,0_to_16,Weekday,Day,1,No,Day
20181234,NSW,11,2018,Saturday,19:45:00,Single,No,No,No,50,Pedestrian,Male,18,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No,17_to_25,Weekend,Night,1,No,Night
20181067,NSW,10,2018,Sunday,05:30:00,Single,No,No,No,50,Passenger,Female,17,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
